canonical_asset_id,PF_symbol,mechanism_proof_cohort,pilot_anchor,pair_identity_source,observed_or_verified_start,observed_or_verified_end,symbol_migrations,known_status_intervals,historical_authority_status,api_key,Kraken_spot_pair,wsname,spot_base,spot_quote,current_status,identity_confidence,inclusion_or_exclusion_reason
ANKR,PF_ANKRUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:05:00+00:00,2025-12-31T23:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ANKRUSD,ANKRUSD,ANKR/USD,ANKR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
APE,PF_APEUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:10:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,APEUSD,APEUSD,APE/USD,APE,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
API3,PF_API3USD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:10:00+00:00,2025-12-31T23:40:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,API3USD,API3USD,API3/USD,API3,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
APT,PF_APTUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T08:50:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,APTUSD,APTUSD,APT/USD,APT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AR,PF_ARUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-04-28T13:25:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ARUSD,ARUSD,AR/USD,AR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ARB,PF_ARBUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-03-23T13:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ARBUSD,ARBUSD,ARB/USD,ARB,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ARC,PF_ARCUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-04-17T16:40:00+00:00,2025-12-31T21:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ARCUSD,ARCUSD,ARC/USD,ARC,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ARKM,PF_ARKMUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-05-30T16:40:00+00:00,2025-12-31T23:35:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ARKMUSD,ARKMUSD,ARKM/USD,ARKM,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ASTR,PF_ASTRUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ASTRUSD,ASTRUSD,ASTR/USD,ASTR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ATH,PF_ATHUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-11-12T14:05:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ATHUSD,ATHUSD,ATH/USD,ATH,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ATOM,PF_ATOMUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ATOMUSD,ATOMUSD,ATOM/USD,ATOM,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AUCTION,PF_AUCTIONUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-08-13T17:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AUCTIONUSD,AUCTIONUSD,AUCTION/USD,AUCTION,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AVAX,PF_AVAXUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:05:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AVAXUSD,AVAXUSD,AVAX/USD,AVAX,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
AXS,PF_AXSUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:10:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,AXSUSD,AXSUSD,AXS/USD,AXS,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
B3,PF_B3USD,True,False,official_Kraken_AssetPairs_snapshot,2025-03-14T15:30:00+00:00,2025-12-31T21:20:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,B3USD,B3USD,B3/USD,B3,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BANANA,PF_BANANAUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
BAND,PF_BANDUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:15:00+00:00,2025-12-31T22:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BANDUSD,BANDUSD,BAND/USD,BAND,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BAT,PF_BATUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BATUSD,BATUSD,BAT/USD,BAT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BB,PF_BBUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
BCH,PF_BCHUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BCHUSD,BCHUSD,BCH/USD,BCH,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BEAM,PF_BEAMUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-04-11T14:30:00+00:00,2025-12-31T23:25:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BEAMUSD,BEAMUSD,BEAM/USD,BEAM,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BEL,PF_BELUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
BERA,PF_BERAUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-02-06T13:00:00+00:00,2025-12-31T23:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BERAUSD,BERAUSD,BERA/USD,BERA,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BICO,PF_BICOUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T16:30:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BICOUSD,BICOUSD,BICO/USD,BICO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BIGTIME,PF_BIGTIMEUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-06-20T14:25:00+00:00,2025-12-31T19:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BIGTIMEUSD,BIGTIMEUSD,BIGTIME/USD,BIGTIME,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BIO,PF_BIOUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-02-04T18:30:00+00:00,2025-12-31T22:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BIOUSD,BIOUSD,BIO/USD,BIO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BLUR,PF_BLURUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-02-14T18:35:00+00:00,2025-12-31T23:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BLURUSD,BLURUSD,BLUR/USD,BLUR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BNB,PF_BNBUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-04-22T14:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BNBUSD,BNBUSD,BNB/USD,BNB,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BNT,PF_BNTUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:40:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BNTUSD,BNTUSD,BNT/USD,BNT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BOME,PF_BOMEUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
BONK,PF_BONKUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-12-22T16:55:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,BONKUSD,BONKUSD,BONK/USD,BONK,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
BRETT,PF_BRETTUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
C98,PF_C98USD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-03T12:50:00+00:00,2025-12-31T10:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,C98USD,C98USD,C98/USD,C98,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CAKE,PF_CAKEUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T00:40:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CAKEUSD,CAKEUSD,CAKE/USD,CAKE,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CAT,PF_CATUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T00:40:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CATUSD,CATUSD,CAT/USD,CAT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CATI,PF_CATIUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
CELO,PF_CELOUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-04-07T15:45:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CELOUSD,CELOUSD,CELO/USD,CELO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CELR,PF_CELRUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:50:00+00:00,2025-12-31T23:35:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CELRUSD,CELRUSD,CELR/USD,CELR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CETUS,PF_CETUSUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
CFX,PF_CFXUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,no_archive_rows_observed,CFXUSD,CFXUSD,CFX/USD,CFX,ZUSD,online,high_current_identity_historical_interval_pending,excluded_no_official_archive_rows_observed
CGPT,PF_CGPTUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
CHILLGUY,PF_CHILLGUYUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
CHR,PF_CHRUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T04:35:00+00:00,2025-12-31T19:25:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CHRUSD,CHRUSD,CHR/USD,CHR,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CHZ,PF_CHZUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:20:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CHZUSD,CHZUSD,CHZ/USD,CHZ,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CKB,PF_CKBUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
COMP,PF_COMPUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:30:00+00:00,2025-12-31T23:35:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,COMPUSD,COMPUSD,COMP/USD,COMP,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
COOKIE,PF_COOKIEUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T03:15:00+00:00,2025-12-31T23:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,COOKIEUSD,COOKIEUSD,COOKIE/USD,COOKIE,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
COTI,PF_COTIUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:40:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,COTIUSD,COTIUSD,COTI/USD,COTI,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
COW,PF_COWUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-01-15T20:50:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,COWUSD,COWUSD,COW/USD,COW,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CRO,PF_CROUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-01-29T15:15:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CROUSD,CROUSD,CRO/USD,CRO,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CRV,PF_CRVUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CRVUSD,CRVUSD,CRV/USD,CRV,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CTSI,PF_CTSIUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T16:05:00+00:00,2025-12-31T22:45:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CTSIUSD,CTSIUSD,CTSI/USD,CTSI,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CVX,PF_CVXUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T01:10:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CVXUSD,CVXUSD,CVX/USD,CVX,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
CYBER,PF_CYBERUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-02-18T20:25:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,CYBERUSD,CYBERUSD,CYBER/USD,CYBER,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DASH,PF_DASHUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DASHUSD,DASHUSD,DASH/USD,DASH,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DEEP,PF_DEEPUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T01:25:00+00:00,2025-12-31T23:25:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DEEPUSD,DEEPUSD,DEEP/USD,DEEP,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DEGEN,PF_DEGENUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T06:15:00+00:00,2025-12-31T22:20:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DEGENUSD,DEGENUSD,DEGEN/USD,DEGEN,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DENT,PF_DENTUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:05:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DENTUSD,DENTUSD,DENT/USD,DENT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DEXE,PF_DEXEUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
DOG,PF_DOGUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-07-01T00:00:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DOGUSD,DOGUSD,DOG/USD,DOG,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DOGE,PF_DOGEUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
DOGS,PF_DOGSUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-02-13T15:30:00+00:00,2025-12-31T23:15:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DOGSUSD,DOGSUSD,DOGS/USD,DOGS,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DOT,PF_DOTUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DOTUSD,DOTUSD,DOT/USD,DOT,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DYDX,PF_DYDXUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:45:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DYDXUSD,DYDXUSD,DYDX/USD,DYDX,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
DYM,PF_DYMUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-02-06T20:15:00+00:00,2025-12-31T23:40:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,DYMUSD,DYMUSD,DYM/USD,DYM,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
EGLD,PF_EGLDUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,EGLDUSD,EGLDUSD,EGLD/USD,EGLD,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
EIGEN,PF_EIGENUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-10-01T06:05:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,EIGENUSD,EIGENUSD,EIGEN/USD,EIGEN,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ENA,PF_ENAUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-05-30T18:30:00+00:00,2025-12-31T23:50:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ENAUSD,ENAUSD,ENA/USD,ENA,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ENS,PF_ENSUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:05:00+00:00,2025-12-31T23:10:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ENSUSD,ENSUSD,ENS/USD,ENS,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ETC,PF_ETCUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:25:00+00:00,2025-12-31T23:40:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,XETCZUSD,ETCUSD,ETC/USD,XETC,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ETH,PF_ETHUSD,False,True,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,XETHZUSD,ETHUSD,ETH/USD,XETH,ZUSD,online,high_current_identity_historical_interval_pending,official_USD_identity_candidate
ETHFI,PF_ETHFIUSD,True,False,official_Kraken_AssetPairs_snapshot,2024-05-30T16:45:00+00:00,2025-12-31T23:30:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,ETHFIUSD,ETHFIUSD,ETHFI/USD,ETHFI,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
ETHW,PF_ETHWUSD,True,False,official_Kraken_AssetPairs_snapshot,unknown_before_archive_read,unknown_before_archive_read,none_known,current_status_only_not_historical,pending_archive_observation,,,,,,,unresolved,no_unique_official_USD_pair
FARTCOIN,PF_FARTCOINUSD,True,False,official_Kraken_AssetPairs_snapshot,2025-01-23T15:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,FARTCOINUSD,FARTCOINUSD,FARTCOIN/USD,FARTCOIN,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
FET,PF_FETUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,FETUSD,FETUSD,FET/USD,FET,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
FIL,PF_FILUSD,True,False,official_Kraken_AssetPairs_snapshot,2023-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,none_known,current_status_only_not_historical,official_archive_observed_bounded,FILUSD,FILUSD,FIL/USD,FIL,ZUSD,online,high_current_identity_historical_interval_pending,included_official_USD_archive_rows
